scoring_fn	weight	step_acc	agent_acc
sal_noref_c5	post_norm/28	0.2758620689655172	0.603448275862069
gradnorm_l1	gate/31	0.2586206896551724	0.5862068965517241
sal_noref_c2	o/34	0.2586206896551724	0.5689655172413793
sal_noref_c7	gate/31	0.2586206896551724	0.5344827586206896
sal_noref_c6	post_norm/28	0.2586206896551724	0.5862068965517241
sal_noref_c10	gate/31	0.2586206896551724	0.5517241379310345
sal_noref_c9	gate/31	0.2586206896551724	0.5344827586206896
sal_noref_c8	in_norm/16	0.2586206896551724	0.5862068965517241
gradnorm_l2	in_norm/16	0.2413793103448276	0.5689655172413793
sal_noref_c1	v/15	0.2413793103448276	0.6379310344827587
sal_noref_c3	q_norm/27	0.2413793103448276	0.5862068965517241
sal_noref_c4	v/24	0.2413793103448276	0.5344827586206896
sal_wref_c6	q/26	0.2068965517241379	0.5862068965517241
sal_wref_c5	q/26	0.1896551724137931	0.5517241379310345
sal_wref_c8	q/26	0.1724137931034483	0.603448275862069
sal_wref_c10	q/26	0.1724137931034483	0.603448275862069
sal_wref_c4	q/15	0.1724137931034483	0.4827586206896552
sal_wref_c3	q/26	0.1724137931034483	0.5862068965517241
sal_wref_c9	q/15	0.1724137931034483	0.396551724137931
sal_wref_c7	q/15	0.1724137931034483	0.4482758620689655
