scoring_fn	weight	step_acc	agent_acc
sal_wref_c5	q_norm/9	0.3253968253968254	0.5952380952380952
sal_wref_c8	k/5	0.3253968253968254	0.5793650793650794
sal_wref_c4	k_norm/23	0.3174603174603174	0.492063492063492
sal_noref_c4	q/32	0.3095238095238095	0.5396825396825397
sal_noref_c3	q/32	0.3095238095238095	0.5476190476190477
sal_noref_c10	q/32	0.3095238095238095	0.5476190476190477
sal_wref_c7	in_norm/1	0.3095238095238095	0.6111111111111112
sal_noref_c5	q/32	0.3095238095238095	0.5396825396825397
sal_wref_c10	k_norm/23	0.3095238095238095	0.492063492063492
sal_wref_c9	k_norm/23	0.3095238095238095	0.492063492063492
sal_noref_c6	q/32	0.3015873015873015	0.5396825396825397
sal_noref_c9	q/32	0.3015873015873015	0.5396825396825397
sal_noref_c8	q/32	0.3015873015873015	0.5396825396825397
sal_noref_c2	q/32	0.3015873015873015	0.5476190476190477
sal_wref_c6	k/6	0.3015873015873015	0.5158730158730159
sal_noref_c7	q/32	0.3015873015873015	0.5396825396825397
sal_noref_c1	q/32	0.2936507936507936	0.492063492063492
sal_wref_c3	in_norm/9	0.2936507936507936	0.5
gradnorm_l2	q/32	0.2857142857142857	0.5476190476190477
gradnorm_l1	q/26	0.2777777777777778	0.5
