scoring_fn	weight	step_acc	agent_acc
sal_noref_c3	post_norm/3	0.3571428571428571	0.5079365079365079
sal_noref_c5	post_norm/3	0.3571428571428571	0.5079365079365079
sal_noref_c4	post_norm/3	0.3412698412698413	0.5
sal_noref_c6	post_norm/3	0.3412698412698413	0.4682539682539682
sal_noref_c8	post_norm/3	0.3333333333333333	0.4444444444444444
sal_wref_c4	k/1	0.3333333333333333	0.5317460317460317
sal_wref_c3	k/1	0.3333333333333333	0.5079365079365079
sal_noref_c7	post_norm/3	0.3253968253968254	0.4365079365079365
sal_noref_c9	post_norm/3	0.3253968253968254	0.4603174603174603
sal_wref_c5	k/1	0.3174603174603174	0.5079365079365079
sal_noref_c10	post_norm/3	0.3174603174603174	0.4682539682539682
sal_wref_c10	k/11	0.3174603174603174	0.4841269841269841
sal_noref_c2	k/1	0.3174603174603174	0.4761904761904761
gradnorm_l1	k/3	0.3095238095238095	0.4761904761904761
sal_wref_c9	k/11	0.3095238095238095	0.4603174603174603
gradnorm_l2	post_norm/0	0.3095238095238095	0.5
sal_wref_c7	k/1	0.3095238095238095	0.5158730158730159
sal_wref_c2	k/1	0.3095238095238095	0.492063492063492
sal_wref_c8	up/20	0.3095238095238095	0.5
sal_wref_c6	gate/2	0.3015873015873015	0.4285714285714285
