scoring_fn	weight	step_acc	agent_acc
sal_noref_c1	post_norm/10	0.293103448275862	0.6206896551724138
sal_noref_c5	up/18	0.293103448275862	0.6206896551724138
sal_noref_c6	up/18	0.293103448275862	0.603448275862069
sal_noref_c7	up/18	0.2586206896551724	0.5862068965517241
sal_noref_c8	up/18	0.2586206896551724	0.5862068965517241
sal_wref_c10	down/30	0.2586206896551724	0.5172413793103449
sal_wref_c9	down/30	0.2586206896551724	0.5172413793103449
sal_noref_c9	up/18	0.2586206896551724	0.5862068965517241
sal_wref_c8	down/30	0.2586206896551724	0.5
sal_noref_c3	v/7	0.2413793103448276	0.5517241379310345
gradnorm_l1	down/30	0.2413793103448276	0.6206896551724138
sal_noref_c2	down/2	0.2413793103448276	0.6724137931034483
sal_noref_c10	q/14	0.2413793103448276	0.5862068965517241
gradnorm_l2	gate/11	0.2413793103448276	0.6551724137931034
sal_wref_c5	o/30	0.2413793103448276	0.6724137931034483
sal_noref_c4	v/7	0.2413793103448276	0.5862068965517241
sal_wref_c7	down/30	0.2241379310344827	0.5
sal_wref_c4	o/30	0.2241379310344827	0.6206896551724138
sal_wref_c6	down/30	0.2241379310344827	0.5172413793103449
sal_wref_c3	up/29	0.1724137931034483	0.5344827586206896
