loss	norm	weight	step_acc	agent_acc
ntp	l2	q/8	0.2937	0.4683
ntp	l2	q/13	0.2937	0.4524
ntp	l1	q/5	0.2937	0.4365
ntp	l1	q/2	0.2857	0.4762
ntp	l2	q/7	0.2857	0.4683
ntp	l1	k/0	0.2857	0.4603
ntp	l1	attn/2	0.2857	0.4603
ntp	l2	gate/3	0.2857	0.4603
ntp	l2	down/2	0.2857	0.4603
ntp	l2	k/7	0.2857	0.4603
ntp	l1	up/3	0.2857	0.4524
ntp	l1	layer/3	0.2857	0.4524
ntp	l2	mlp/3	0.2857	0.4524
ntp	l2	down/3	0.2857	0.4444
ntp	l2	q/5	0.2857	0.4444
ntp	l2	up/3	0.2857	0.4444
ntp	l2	k/12	0.2778	0.4762
ntp	l1	k/7	0.2778	0.4603
ntp	l1	gate/4	0.2778	0.4603
ntp	l2	attn/7	0.2778	0.4603
ntp	l2	k/10	0.2778	0.4603
ntp	l2	q/2	0.2778	0.4603
ntp	l1	v/3	0.2778	0.4524
ntp	l1	mlp/3	0.2778	0.4524
ntp	l1	gate/3	0.2778	0.4524
ntp	l1	attn/8	0.2778	0.4524
ntp	l1	layer/2	0.2778	0.4524
ntp	l1	gate/2	0.2778	0.4524
ntp	l1	attn/3	0.2778	0.4524
ntp	l2	k/0	0.2778	0.4524
ntp	l2	mlp/2	0.2778	0.4524
ntp	l2	attn/2	0.2778	0.4524
ntp	l2	o/3	0.2778	0.4524
ntp	l2	attn/6	0.2778	0.4524
ntp	l1	o/3	0.2778	0.4444
ntp	l1	mlp/2	0.2778	0.4444
ntp	l1	k/6	0.2778	0.4444
ntp	l1	up/2	0.2778	0.4444
ntp	l1	q/7	0.2778	0.4444
ntp	l1	down/2	0.2778	0.4444
ntp	l1	k/10	0.2778	0.4444
ntp	l1	down/3	0.2778	0.4444
ntp	l2	k/8	0.2778	0.4444
ntp	l2	k/5	0.2778	0.4444
ntp	l2	gate/4	0.2778	0.4444
ntp	l2	layer/3	0.2778	0.4444
ntp	l1	v/4	0.2778	0.4365
ntp	l1	k/8	0.2778	0.4365
ntp	l1	k/9	0.2778	0.4365
ntp	l1	q/9	0.2778	0.4365
