loss	norm	weight	step_acc	agent_acc
ntp	l2	attn/34	0.2619	0.5476
ntp	l2	q/34	0.254	0.5714
ntp	l2	k/34	0.254	0.5079
ntp	l1	down/33	0.246	0.5
ntp	l1	mlp/34	0.2381	0.5079
ntp	l1	gate/35	0.2381	0.5079
ntp	l2	k/28	0.2381	0.5079
ntp	l1	up/34	0.2381	0.5
ntp	l1	down/34	0.2381	0.5
ntp	l2	down/35	0.2381	0.4286
ntp	l2	layer/34	0.2302	0.5
ntp	l2	down/34	0.2302	0.4921
ntp	l2	v/34	0.2302	0.4841
ntp	l2	attn/32	0.2302	0.4762
ntp	l1	v/35	0.2302	0.4603
ntp	l2	k/21	0.2302	0.4444
ntp	l2	k/26	0.2302	0.4365
ntp	l2	k/35	0.2222	0.5159
ntp	l1	up/33	0.2222	0.5
ntp	l1	mlp/33	0.2222	0.5
ntp	l1	q/34	0.2222	0.5
ntp	l1	down/32	0.2222	0.4921
ntp	l1	layer/34	0.2222	0.4921
ntp	l1	gate/34	0.2222	0.4841
ntp	l1	gate/32	0.2222	0.4762
ntp	l2	q/30	0.2222	0.4762
ntp	l2	q/32	0.2222	0.4683
ntp	l2	q/31	0.2222	0.4683
ntp	l2	q/26	0.2222	0.4603
ntp	l2	v/33	0.2222	0.4603
ntp	l2	v/35	0.2222	0.4603
ntp	l2	o/35	0.2222	0.4524
ntp	l2	o/34	0.2222	0.4524
ntp	l2	mlp/35	0.2222	0.4206
ntp	l2	o/33	0.2143	0.5238
ntp	l1	gate/33	0.2143	0.5
ntp	l1	k/34	0.2143	0.5
ntp	l2	k/22	0.2143	0.4921
ntp	l2	attn/35	0.2143	0.4921
ntp	l1	q/31	0.2143	0.4841
ntp	l2	q/27	0.2143	0.4841
ntp	l2	q/33	0.2143	0.4841
ntp	l2	attn/33	0.2143	0.4841
ntp	l1	mlp/31	0.2143	0.4762
ntp	l1	mlp/32	0.2143	0.4762
ntp	l1	up/31	0.2143	0.4762
ntp	l1	up/32	0.2143	0.4683
ntp	l2	attn/30	0.2143	0.4683
ntp	l2	q/20	0.2143	0.4444
ntp	l2	layer/35	0.2143	0.4365
