subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
hand-crafted	layer_0	0.00 / 1.72	13.79 / 13.79	15.52 / 17.24	34.48 / 34.48	51.72 / 53.45	72.41 / 72.41
hand-crafted	layer_1	0.00 / 1.72	13.79 / 12.07	17.24 / 17.24	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_2	0.00 / 1.72	12.07 / 13.79	17.24 / 17.24	34.48 / 34.48	51.72 / 53.45	72.41 / 72.41
hand-crafted	layer_3	0.00 / 1.72	12.07 / 12.07	17.24 / 17.24	34.48 / 34.48	53.45 / 51.72	72.41 / 72.41
hand-crafted	layer_4	1.72 / 1.72	12.07 / 12.07	17.24 / 17.24	34.48 / 34.48	53.45 / 53.45	72.41 / 72.41
hand-crafted	layer_5	0.00 / 1.72	12.07 / 12.07	15.52 / 17.24	34.48 / 34.48	53.45 / 53.45	72.41 / 72.41
hand-crafted	layer_6	0.00 / 0.00	12.07 / 12.07	15.52 / 17.24	34.48 / 34.48	53.45 / 55.17	72.41 / 72.41
hand-crafted	layer_7	0.00 / 0.00	12.07 / 12.07	13.79 / 17.24	34.48 / 34.48	53.45 / 55.17	72.41 / 72.41
hand-crafted	layer_8	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_9	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_10	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_11	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_12	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 50.00	72.41 / 72.41
hand-crafted	layer_13	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 50.00	72.41 / 72.41
hand-crafted	layer_14	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	51.72 / 50.00	72.41 / 72.41
hand-crafted	layer_15	0.00 / 0.00	12.07 / 12.07	15.52 / 13.79	34.48 / 34.48	51.72 / 51.72	72.41 / 72.41
hand-crafted	layer_16	0.00 / 0.00	12.07 / 12.07	13.79 / 15.52	34.48 / 34.48	50.00 / 50.00	70.69 / 72.41
hand-crafted	layer_17	0.00 / 0.00	12.07 / 12.07	15.52 / 13.79	34.48 / 34.48	48.28 / 48.28	70.69 / 70.69
hand-crafted	layer_18	0.00 / 0.00	10.34 / 10.34	15.52 / 15.52	34.48 / 34.48	48.28 / 50.00	70.69 / 70.69
