subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
hand-crafted	layer_0	6.90 / 6.90	41.38 / 39.66	55.17 / 53.45	37.93 / 39.66	87.93 / 86.21	93.10 / 93.10
hand-crafted	layer_1	6.90 / 5.17	34.48 / 34.48	55.17 / 55.17	39.66 / 37.93	89.66 / 89.66	93.10 / 93.10
hand-crafted	layer_2	6.90 / 5.17	32.76 / 32.76	55.17 / 55.17	37.93 / 34.48	87.93 / 86.21	93.10 / 94.83
hand-crafted	layer_3	6.90 / 5.17	32.76 / 31.03	55.17 / 56.90	41.38 / 36.21	87.93 / 86.21	93.10 / 94.83
hand-crafted	layer_4	6.90 / 6.90	32.76 / 31.03	55.17 / 53.45	41.38 / 37.93	86.21 / 86.21	93.10 / 94.83
hand-crafted	layer_5	8.62 / 8.62	34.48 / 32.76	53.45 / 51.72	39.66 / 37.93	86.21 / 87.93	93.10 / 94.83
hand-crafted	layer_6	8.62 / 13.79	34.48 / 37.93	53.45 / 53.45	36.21 / 43.10	87.93 / 93.10	93.10 / 96.55
hand-crafted	layer_7	8.62 / 8.62	32.76 / 31.03	53.45 / 53.45	36.21 / 41.38	87.93 / 86.21	93.10 / 93.10
hand-crafted	layer_8	12.07 / 6.90	32.76 / 29.31	53.45 / 53.45	39.66 / 37.93	89.66 / 86.21	93.10 / 93.10
hand-crafted	layer_9	10.34 / 8.62	34.48 / 32.76	53.45 / 51.72	36.21 / 37.93	89.66 / 87.93	94.83 / 93.10
hand-crafted	layer_10	10.34 / 8.62	34.48 / 36.21	51.72 / 50.00	36.21 / 37.93	89.66 / 89.66	94.83 / 94.83
hand-crafted	layer_11	10.34 / 8.62	34.48 / 34.48	51.72 / 50.00	37.93 / 36.21	89.66 / 91.38	94.83 / 94.83
hand-crafted	layer_12	10.34 / 8.62	34.48 / 36.21	53.45 / 50.00	37.93 / 37.93	89.66 / 89.66	94.83 / 94.83
hand-crafted	layer_13	10.34 / 8.62	34.48 / 34.48	53.45 / 50.00	37.93 / 36.21	89.66 / 89.66	94.83 / 93.10
hand-crafted	layer_14	12.07 / 10.34	36.21 / 37.93	53.45 / 53.45	36.21 / 37.93	91.38 / 91.38	94.83 / 94.83
hand-crafted	layer_15	12.07 / 10.34	36.21 / 37.93	53.45 / 53.45	43.10 / 37.93	91.38 / 89.66	94.83 / 94.83
hand-crafted	layer_16	12.07 / 10.34	39.66 / 43.10	53.45 / 53.45	44.83 / 41.38	93.10 / 91.38	94.83 / 94.83
hand-crafted	layer_17	12.07 / 13.79	43.10 / 44.83	55.17 / 55.17	44.83 / 44.83	93.10 / 91.38	94.83 / 94.83
hand-crafted	layer_18	12.07 / 12.07	43.10 / 43.10	53.45 / 55.17	46.55 / 44.83	91.38 / 91.38	94.83 / 94.83
hand-crafted	layer_19	12.07 / 13.79	43.10 / 43.10	55.17 / 55.17	46.55 / 48.28	89.66 / 89.66	94.83 / 94.83
hand-crafted	layer_20	12.07 / 10.34	43.10 / 43.10	53.45 / 55.17	46.55 / 46.55	89.66 / 89.66	96.55 / 94.83
hand-crafted	layer_21	13.79 / 18.97	43.10 / 44.83	53.45 / 55.17	46.55 / 48.28	89.66 / 84.48	96.55 / 96.55
hand-crafted	layer_22	12.07 / 15.52	41.38 / 43.10	51.72 / 51.72	46.55 / 46.55	91.38 / 91.38	96.55 / 96.55
hand-crafted	layer_23	13.79 / 13.79	43.10 / 43.10	53.45 / 51.72	46.55 / 46.55	89.66 / 91.38	96.55 / 96.55
hand-crafted	layer_24	13.79 / 15.52	39.66 / 41.38	51.72 / 55.17	50.00 / 48.28	93.10 / 89.66	96.55 / 96.55
hand-crafted	layer_25	13.79 / 12.07	43.10 / 43.10	51.72 / 53.45	48.28 / 48.28	91.38 / 93.10	96.55 / 96.55
hand-crafted	layer_26	13.79 / 15.52	43.10 / 41.38	50.00 / 53.45	48.28 / 50.00	91.38 / 89.66	96.55 / 96.55
hand-crafted	layer_27	13.79 / 17.24	43.10 / 41.38	51.72 / 53.45	48.28 / 50.00	91.38 / 86.21	96.55 / 96.55
hand-crafted	layer_28	15.52 / 15.52	43.10 / 39.66	50.00 / 53.45	48.28 / 48.28	89.66 / 89.66	96.55 / 96.55
hand-crafted	layer_29	13.79 / 15.52	41.38 / 39.66	46.55 / 53.45	46.55 / 46.55	89.66 / 91.38	96.55 / 96.55
hand-crafted	layer_30	15.52 / 13.79	37.93 / 37.93	46.55 / 51.72	48.28 / 46.55	89.66 / 89.66	96.55 / 96.55
hand-crafted	layer_31	15.52 / 15.52	36.21 / 36.21	46.55 / 53.45	48.28 / 44.83	89.66 / 89.66	96.55 / 96.55
hand-crafted	layer_32	15.52 / 15.52	37.93 / 41.38	48.28 / 53.45	48.28 / 43.10	89.66 / 89.66	96.55 / 96.55
hand-crafted	layer_33	15.52 / 13.79	34.48 / 37.93	53.45 / 53.45	48.28 / 44.83	91.38 / 89.66	96.55 / 96.55
hand-crafted	layer_34	15.52 / 17.24	36.21 / 39.66	53.45 / 51.72	48.28 / 46.55	91.38 / 87.93	96.55 / 96.55
hand-crafted	layer_35	13.79 / 13.79	41.38 / 37.93	53.45 / 50.00	51.72 / 46.55	86.21 / 89.66	94.83 / 96.55
hand-crafted	lm_head	10.34 / 22.41	36.21 / 44.83	43.10 / 56.90	65.52 / 62.07	91.38 / 81.03	98.28 / 94.83
algorithm-generated	layer_0	16.67 / 15.08	78.57 / 79.37	100.00 / 100.00	42.86 / 44.44	94.44 / 94.44	100.00 / 100.00
algorithm-generated	layer_1	15.87 / 15.08	76.98 / 76.19	100.00 / 100.00	42.06 / 43.65	94.44 / 95.24	100.00 / 100.00
algorithm-generated	layer_2	16.67 / 15.87	77.78 / 76.98	100.00 / 100.00	42.86 / 42.86	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_3	16.67 / 15.87	77.78 / 76.98	100.00 / 100.00	44.44 / 45.24	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_4	18.25 / 16.67	79.37 / 77.78	100.00 / 100.00	46.03 / 46.03	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_5	18.25 / 16.67	78.57 / 78.57	100.00 / 100.00	48.41 / 47.62	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_6	18.25 / 18.25	78.57 / 77.78	100.00 / 100.00	48.41 / 46.03	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_7	18.25 / 16.67	78.57 / 77.78	100.00 / 100.00	48.41 / 47.62	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_8	18.25 / 16.67	78.57 / 76.98	100.00 / 100.00	47.62 / 47.62	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_9	17.46 / 16.67	78.57 / 78.57	100.00 / 100.00	47.62 / 47.62	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_10	17.46 / 16.67	77.78 / 77.78	100.00 / 100.00	46.83 / 47.62	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_11	16.67 / 16.67	78.57 / 78.57	100.00 / 100.00	47.62 / 47.62	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_12	16.67 / 16.67	77.78 / 77.78	100.00 / 100.00	46.83 / 48.41	95.24 / 96.03	100.00 / 100.00
algorithm-generated	layer_13	15.87 / 15.87	77.78 / 77.78	100.00 / 100.00	46.03 / 47.62	95.24 / 96.03	100.00 / 100.00
algorithm-generated	layer_14	16.67 / 15.08	79.37 / 78.57	100.00 / 100.00	46.03 / 46.03	95.24 / 96.03	100.00 / 100.00
algorithm-generated	layer_15	16.67 / 15.87	79.37 / 78.57	100.00 / 100.00	44.44 / 44.44	95.24 / 96.03	100.00 / 100.00
algorithm-generated	layer_16	15.87 / 15.87	79.37 / 78.57	100.00 / 100.00	43.65 / 46.03	95.24 / 96.03	100.00 / 100.00
algorithm-generated	layer_17	13.49 / 15.08	79.37 / 79.37	100.00 / 100.00	40.48 / 42.86	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_18	15.08 / 15.08	79.37 / 79.37	100.00 / 100.00	42.06 / 42.06	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_19	16.67 / 15.87	80.16 / 80.16	100.00 / 100.00	42.86 / 42.06	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_20	17.46 / 19.84	80.16 / 78.57	100.00 / 100.00	43.65 / 45.24	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_21	15.87 / 14.29	80.95 / 78.57	100.00 / 100.00	43.65 / 41.27	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_22	15.08 / 13.49	80.95 / 78.57	100.00 / 100.00	42.86 / 46.03	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_23	16.67 / 15.87	81.75 / 81.75	100.00 / 100.00	43.65 / 42.86	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_24	16.67 / 14.29	82.54 / 82.54	100.00 / 100.00	46.03 / 44.44	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_25	16.67 / 14.29	82.54 / 81.75	100.00 / 100.00	46.83 / 44.44	96.83 / 96.03	100.00 / 100.00
algorithm-generated	layer_26	17.46 / 15.87	83.33 / 81.75	100.00 / 100.00	47.62 / 44.44	96.83 / 96.03	100.00 / 100.00
algorithm-generated	layer_27	18.25 / 17.46	83.33 / 81.75	100.00 / 100.00	46.03 / 43.65	97.62 / 96.03	100.00 / 100.00
algorithm-generated	layer_28	18.25 / 16.67	82.54 / 81.75	100.00 / 100.00	46.03 / 46.03	97.62 / 97.62	100.00 / 100.00
algorithm-generated	layer_29	19.05 / 17.46	82.54 / 82.54	100.00 / 100.00	47.62 / 46.83	97.62 / 96.83	100.00 / 100.00
algorithm-generated	layer_30	17.46 / 18.25	82.54 / 80.95	100.00 / 100.00	44.44 / 46.83	97.62 / 96.83	100.00 / 100.00
algorithm-generated	layer_31	19.05 / 15.87	82.54 / 80.95	100.00 / 100.00	46.03 / 45.24	97.62 / 97.62	100.00 / 100.00
algorithm-generated	layer_32	19.05 / 18.25	82.54 / 79.37	100.00 / 100.00	45.24 / 44.44	97.62 / 96.83	100.00 / 100.00
algorithm-generated	layer_33	19.05 / 17.46	80.95 / 80.95	100.00 / 100.00	46.83 / 43.65	97.62 / 97.62	100.00 / 100.00
algorithm-generated	layer_34	22.22 / 23.02	81.75 / 78.57	100.00 / 100.00	49.21 / 50.00	97.62 / 98.41	100.00 / 100.00
algorithm-generated	layer_35	19.84 / 21.43	78.57 / 80.95	100.00 / 100.00	43.65 / 43.65	96.03 / 96.83	100.00 / 100.00
algorithm-generated	lm_head	11.11 / 16.67	73.81 / 80.16	100.00 / 100.00	26.19 / 32.54	92.06 / 94.44	100.00 / 100.00
