subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
algorithm-generated	layer_1	8.73 / 7.94	61.11 / 62.70	100.00 / 100.00	40.48 / 39.68	84.92 / 87.30	100.00 / 100.00
algorithm-generated	layer_2	9.52 / 7.94	59.52 / 61.90	100.00 / 100.00	39.68 / 39.68	85.71 / 87.30	100.00 / 100.00
algorithm-generated	layer_3	7.94 / 8.73	61.11 / 61.11	100.00 / 100.00	37.30 / 39.68	84.13 / 86.51	100.00 / 100.00
algorithm-generated	layer_4	7.14 / 6.35	61.90 / 60.32	100.00 / 100.00	36.51 / 35.71	84.92 / 85.71	100.00 / 100.00
algorithm-generated	layer_5	6.35 / 7.94	61.90 / 60.32	100.00 / 100.00	37.30 / 36.51	85.71 / 85.71	100.00 / 100.00
algorithm-generated	layer_6	6.35 / 4.76	61.11 / 58.73	100.00 / 100.00	35.71 / 32.54	86.51 / 85.71	100.00 / 100.00
algorithm-generated	layer_7	7.14 / 7.14	59.52 / 60.32	100.00 / 100.00	37.30 / 37.30	85.71 / 84.92	100.00 / 100.00
algorithm-generated	layer_8	6.35 / 6.35	59.52 / 60.32	100.00 / 100.00	37.30 / 36.51	85.71 / 84.92	100.00 / 100.00
algorithm-generated	layer_9	6.35 / 6.35	60.32 / 59.52	100.00 / 100.00	35.71 / 36.51	84.92 / 84.92	100.00 / 100.00
algorithm-generated	layer_10	6.35 / 6.35	60.32 / 60.32	100.00 / 100.00	36.51 / 36.51	84.92 / 84.92	100.00 / 100.00
algorithm-generated	layer_11	6.35 / 4.76	61.11 / 60.32	100.00 / 100.00	36.51 / 35.71	85.71 / 84.92	100.00 / 100.00
algorithm-generated	layer_12	5.56 / 4.76	61.11 / 61.11	100.00 / 100.00	35.71 / 35.71	84.92 / 84.92	100.00 / 100.00
algorithm-generated	layer_13	5.56 / 5.56	61.11 / 61.90	100.00 / 100.00	34.92 / 35.71	84.92 / 84.92	100.00 / 100.00
algorithm-generated	layer_14	5.56 / 4.76	60.32 / 60.32	100.00 / 100.00	34.92 / 34.92	85.71 / 85.71	100.00 / 100.00
algorithm-generated	layer_15	5.56 / 4.76	60.32 / 60.32	100.00 / 100.00	34.92 / 37.30	85.71 / 85.71	100.00 / 100.00
algorithm-generated	layer_16	5.56 / 6.35	60.32 / 59.52	100.00 / 100.00	35.71 / 36.51	86.51 / 85.71	100.00 / 100.00
