subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
hand-crafted	layer_0	20.69 / 18.97	39.66 / 43.10	56.90 / 58.62	58.62 / 60.34	84.48 / 84.48	93.10 / 93.10
hand-crafted	layer_1	17.24 / 20.69	39.66 / 39.66	56.90 / 58.62	56.90 / 60.34	82.76 / 84.48	89.66 / 91.38
hand-crafted	layer_2	20.69 / 18.97	39.66 / 41.38	58.62 / 58.62	58.62 / 58.62	81.03 / 84.48	91.38 / 93.10
hand-crafted	layer_3	20.69 / 20.69	39.66 / 41.38	58.62 / 60.34	58.62 / 60.34	82.76 / 84.48	93.10 / 93.10
hand-crafted	layer_4	22.41 / 18.97	43.10 / 43.10	60.34 / 60.34	60.34 / 60.34	82.76 / 82.76	93.10 / 91.38
hand-crafted	layer_5	20.69 / 18.97	44.83 / 43.10	62.07 / 60.34	60.34 / 60.34	84.48 / 82.76	93.10 / 93.10
hand-crafted	layer_6	20.69 / 20.69	43.10 / 41.38	63.79 / 65.52	62.07 / 63.79	82.76 / 81.03	93.10 / 93.10
hand-crafted	layer_7	20.69 / 20.69	46.55 / 41.38	63.79 / 65.52	62.07 / 63.79	82.76 / 81.03	93.10 / 93.10
hand-crafted	layer_8	20.69 / 18.97	44.83 / 41.38	65.52 / 63.79	62.07 / 62.07	81.03 / 81.03	93.10 / 93.10
hand-crafted	layer_9	20.69 / 18.97	43.10 / 43.10	65.52 / 63.79	62.07 / 62.07	81.03 / 81.03	93.10 / 93.10
hand-crafted	layer_10	17.24 / 17.24	43.10 / 43.10	65.52 / 63.79	62.07 / 62.07	81.03 / 81.03	93.10 / 93.10
hand-crafted	layer_11	18.97 / 18.97	43.10 / 41.38	65.52 / 63.79	62.07 / 62.07	81.03 / 81.03	93.10 / 93.10
hand-crafted	layer_12	18.97 / 18.97	43.10 / 44.83	65.52 / 63.79	62.07 / 62.07	79.31 / 79.31	93.10 / 93.10
hand-crafted	layer_13	18.97 / 15.52	43.10 / 44.83	65.52 / 63.79	62.07 / 60.34	81.03 / 79.31	93.10 / 93.10
hand-crafted	layer_14	20.69 / 18.97	43.10 / 46.55	62.07 / 65.52	62.07 / 62.07	82.76 / 81.03	93.10 / 93.10
hand-crafted	layer_15	22.41 / 22.41	41.38 / 43.10	60.34 / 62.07	58.62 / 60.34	81.03 / 84.48	93.10 / 93.10
hand-crafted	layer_16	20.69 / 20.69	44.83 / 43.10	56.90 / 60.34	56.90 / 56.90	82.76 / 81.03	93.10 / 93.10
hand-crafted	layer_17	20.69 / 20.69	41.38 / 43.10	56.90 / 56.90	62.07 / 60.34	84.48 / 84.48	93.10 / 93.10
hand-crafted	layer_18	20.69 / 20.69	41.38 / 41.38	55.17 / 53.45	67.24 / 63.79	84.48 / 84.48	91.38 / 91.38
hand-crafted	layer_19	18.97 / 20.69	39.66 / 39.66	51.72 / 55.17	63.79 / 65.52	84.48 / 84.48	91.38 / 91.38
hand-crafted	layer_20	18.97 / 20.69	41.38 / 39.66	55.17 / 53.45	63.79 / 63.79	84.48 / 84.48	93.10 / 91.38
hand-crafted	layer_21	17.24 / 18.97	36.21 / 36.21	53.45 / 53.45	62.07 / 63.79	86.21 / 84.48	93.10 / 91.38
hand-crafted	layer_22	17.24 / 17.24	34.48 / 36.21	51.72 / 51.72	58.62 / 62.07	86.21 / 86.21	93.10 / 91.38
hand-crafted	layer_23	15.52 / 17.24	32.76 / 36.21	51.72 / 55.17	58.62 / 62.07	87.93 / 86.21	94.83 / 93.10
hand-crafted	layer_24	17.24 / 17.24	32.76 / 34.48	50.00 / 51.72	62.07 / 60.34	87.93 / 87.93	96.55 / 93.10
hand-crafted	layer_25	17.24 / 17.24	32.76 / 34.48	55.17 / 55.17	63.79 / 62.07	87.93 / 86.21	96.55 / 94.83
hand-crafted	layer_26	18.97 / 17.24	31.03 / 37.93	51.72 / 53.45	62.07 / 56.90	87.93 / 87.93	96.55 / 94.83
hand-crafted	layer_27	18.97 / 18.97	32.76 / 34.48	50.00 / 56.90	62.07 / 58.62	87.93 / 84.48	96.55 / 94.83
hand-crafted	layer_28	20.69 / 17.24	36.21 / 36.21	51.72 / 53.45	63.79 / 56.90	89.66 / 84.48	96.55 / 93.10
hand-crafted	layer_29	20.69 / 15.52	36.21 / 41.38	53.45 / 58.62	63.79 / 63.79	87.93 / 86.21	96.55 / 96.55
hand-crafted	layer_30	18.97 / 18.97	39.66 / 41.38	55.17 / 56.90	58.62 / 56.90	86.21 / 84.48	96.55 / 93.10
hand-crafted	layer_31	20.69 / 20.69	41.38 / 43.10	56.90 / 58.62	55.17 / 60.34	82.76 / 81.03	94.83 / 93.10
hand-crafted	lm_head	10.34 / 22.41	36.21 / 43.10	41.38 / 60.34	74.14 / 63.79	93.10 / 81.03	98.28 / 93.10
algorithm-generated	layer_0	25.40 / 26.19	83.33 / 80.95	100.00 / 100.00	43.65 / 44.44	96.03 / 95.24	100.00 / 100.00
algorithm-generated	layer_1	26.19 / 25.40	81.75 / 80.16	100.00 / 100.00	45.24 / 41.27	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_2	27.78 / 26.19	80.16 / 81.75	100.00 / 100.00	45.24 / 43.65	96.03 / 95.24	100.00 / 100.00
algorithm-generated	layer_3	28.57 / 27.78	80.16 / 80.16	100.00 / 100.00	45.24 / 44.44	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_4	26.19 / 27.78	80.95 / 80.95	100.00 / 100.00	42.86 / 43.65	96.03 / 96.03	100.00 / 100.00
algorithm-generated	layer_5	26.19 / 26.19	79.37 / 80.95	100.00 / 100.00	42.86 / 42.06	94.44 / 96.03	100.00 / 100.00
algorithm-generated	layer_6	26.19 / 26.19	79.37 / 80.16	100.00 / 100.00	42.06 / 42.86	94.44 / 94.44	100.00 / 100.00
algorithm-generated	layer_7	26.19 / 25.40	79.37 / 79.37	100.00 / 100.00	42.86 / 43.65	94.44 / 94.44	100.00 / 100.00
algorithm-generated	layer_8	25.40 / 25.40	80.16 / 79.37	100.00 / 100.00	39.68 / 43.65	94.44 / 93.65	100.00 / 100.00
