weight	step_acc	agent_acc
q_norm/9	0.5714285714285714	0.8412698412698413
k_norm/25	0.5396825396825397	0.8095238095238095
v/19	0.5317460317460317	0.7698412698412699
k/9	0.5238095238095238	0.8174603174603174
k/17	0.5238095238095238	0.8571428571428571
down/34	0.5238095238095238	0.7063492063492064
gate/21	0.5158730158730159	0.7857142857142857
k_norm/9	0.5158730158730159	0.8253968253968254
k/18	0.5079365079365079	0.7857142857142857
v/3	0.5079365079365079	0.7777777777777778
post_norm/7	0.5079365079365079	0.8174603174603174
q_norm/25	0.5079365079365079	0.8095238095238095
q/5	0.5079365079365079	0.7698412698412699
q_norm/3	0.5079365079365079	0.8333333333333334
in_norm/24	0.5079365079365079	0.8412698412698413
v/20	0.5079365079365079	0.7301587301587301
v/14	0.5079365079365079	0.8174603174603174
down/2	0.5079365079365079	0.7857142857142857
q/23	0.5	0.8571428571428571
v/15	0.5	0.8015873015873016
q/19	0.5	0.7936507936507936
v/12	0.5	0.8095238095238095
up/2	0.5	0.8095238095238095
k_norm/3	0.5	0.8174603174603174
in_norm/6	0.49206349206349204	0.7301587301587301
q_norm/21	0.49206349206349204	0.8095238095238095
v/1	0.49206349206349204	0.7777777777777778
q/32	0.49206349206349204	0.7142857142857143
k_norm/2	0.49206349206349204	0.7698412698412699
gate/17	0.49206349206349204	0.7698412698412699
in_norm/27	0.48412698412698413	0.7619047619047619
o/9	0.48412698412698413	0.7857142857142857
k_norm/21	0.48412698412698413	0.7301587301587301
in_norm/9	0.48412698412698413	0.8015873015873016
q/6	0.48412698412698413	0.8412698412698413
post_norm/21	0.48412698412698413	0.7301587301587301
down/13	0.47619047619047616	0.7936507936507936
k/5	0.47619047619047616	0.8412698412698413
in_norm/17	0.47619047619047616	0.7857142857142857
v/18	0.47619047619047616	0.7380952380952381
v/16	0.47619047619047616	0.746031746031746
q_norm/19	0.47619047619047616	0.746031746031746
post_norm/14	0.47619047619047616	0.7619047619047619
k/15	0.47619047619047616	0.8174603174603174
in_norm/20	0.46825396825396826	0.8095238095238095
v/2	0.46825396825396826	0.7619047619047619
in_norm/1	0.46825396825396826	0.7380952380952381
v/11	0.46825396825396826	0.753968253968254
k_norm/11	0.4603174603174603	0.7936507936507936
v/7	0.4603174603174603	0.8333333333333334
q_norm/17	0.4603174603174603	0.746031746031746
k_norm/17	0.4603174603174603	0.746031746031746
v/9	0.4603174603174603	0.753968253968254
in_norm/35	0.4603174603174603	0.8253968253968254
gate/14	0.4603174603174603	0.7857142857142857
q/0	0.4603174603174603	0.7857142857142857
q/13	0.4523809523809524	0.7936507936507936
o/8	0.4523809523809524	0.7777777777777778
o/14	0.4523809523809524	0.7301587301587301
k/0	0.4523809523809524	0.8015873015873016
up/6	0.4523809523809524	0.753968253968254
q/4	0.4523809523809524	0.7777777777777778
gate/18	0.4523809523809524	0.7380952380952381
in_norm/5	0.4523809523809524	0.7936507936507936
down/10	0.4523809523809524	0.7777777777777778
gate/35	0.4523809523809524	0.753968253968254
k_norm/19	0.4523809523809524	0.7301587301587301
post_norm/10	0.4523809523809524	0.753968253968254
k_norm/0	0.4444444444444444	0.6825396825396826
k/6	0.4444444444444444	0.7619047619047619
v/10	0.4444444444444444	0.7777777777777778
q/3	0.4444444444444444	0.8015873015873016
post_norm/15	0.4444444444444444	0.7936507936507936
gate/13	0.4444444444444444	0.7777777777777778
in_norm/28	0.4444444444444444	0.746031746031746
q_norm/29	0.4444444444444444	0.746031746031746
k/1	0.4444444444444444	0.753968253968254
gate/11	0.4444444444444444	0.753968253968254
post_norm/35	0.4365079365079365	0.6190476190476191
in_norm/8	0.4365079365079365	0.746031746031746
k/19	0.4365079365079365	0.746031746031746
q_norm/32	0.4365079365079365	0.7380952380952381
k_norm/32	0.4365079365079365	0.7301587301587301
gate/4	0.4365079365079365	0.753968253968254
k_norm/8	0.4365079365079365	0.7142857142857143
k_norm/5	0.4365079365079365	0.6984126984126984
in_norm/34	0.4365079365079365	0.7380952380952381
k/7	0.4365079365079365	0.746031746031746
q_norm/26	0.4365079365079365	0.746031746031746
in_norm/32	0.4365079365079365	0.8095238095238095
gate/3	0.42857142857142855	0.7857142857142857
o/10	0.42857142857142855	0.6904761904761905
gate/5	0.42857142857142855	0.8015873015873016
down/9	0.42857142857142855	0.7857142857142857
k_norm/20	0.42857142857142855	0.746031746031746
q/25	0.42857142857142855	0.753968253968254
v/8	0.42857142857142855	0.7857142857142857
in_norm/14	0.42857142857142855	0.7063492063492064
in_norm/26	0.42857142857142855	0.753968253968254
q_norm/5	0.42857142857142855	0.7936507936507936
up/21	0.42857142857142855	0.7619047619047619
q/1	0.42857142857142855	0.746031746031746
v/5	0.42857142857142855	0.7936507936507936
in_norm/21	0.42857142857142855	0.746031746031746
q_norm/0	0.42857142857142855	0.8253968253968254
post_norm/2	0.42857142857142855	0.7619047619047619
k_norm/29	0.42857142857142855	0.7301587301587301
q/10	0.42857142857142855	0.7142857142857143
down/1	0.42857142857142855	0.753968253968254
post_norm/17	0.42857142857142855	0.7777777777777778
q/2	0.42857142857142855	0.7142857142857143
q_norm/23	0.42063492063492064	0.7142857142857143
k_norm/23	0.42063492063492064	0.7301587301587301
q_norm/20	0.42063492063492064	0.753968253968254
down/18	0.42063492063492064	0.7222222222222222
v/13	0.42063492063492064	0.7142857142857143
q/27	0.42063492063492064	0.8174603174603174
post_norm/16	0.42063492063492064	0.7222222222222222
down/0	0.42063492063492064	0.746031746031746
in_norm/3	0.42063492063492064	0.7698412698412699
q_norm/22	0.42063492063492064	0.6507936507936508
k/3	0.42063492063492064	0.7142857142857143
v/4	0.42063492063492064	0.7698412698412699
k/16	0.42063492063492064	0.7301587301587301
q_norm/1	0.42063492063492064	0.7142857142857143
up/34	0.42063492063492064	0.6825396825396826
k_norm/22	0.42063492063492064	0.7142857142857143
o/21	0.42063492063492064	0.746031746031746
q/20	0.42063492063492064	0.753968253968254
q_norm/8	0.42063492063492064	0.753968253968254
k/10	0.42063492063492064	0.753968253968254
k/35	0.42063492063492064	0.753968253968254
post_norm/20	0.42063492063492064	0.6507936507936508
post_norm/11	0.42063492063492064	0.753968253968254
up/14	0.4126984126984127	0.7142857142857143
down/16	0.4126984126984127	0.753968253968254
gate/2	0.4126984126984127	0.6904761904761905
in_norm/25	0.4126984126984127	0.7301587301587301
gate/15	0.4126984126984127	0.746031746031746
v/34	0.4126984126984127	0.6904761904761905
in_norm/23	0.4126984126984127	0.7857142857142857
q_norm/11	0.4126984126984127	0.753968253968254
up/7	0.4126984126984127	0.7698412698412699
down/7	0.4126984126984127	0.7936507936507936
post_norm/8	0.4126984126984127	0.7619047619047619
down/8	0.4126984126984127	0.7936507936507936
k/14	0.4126984126984127	0.7142857142857143
in_norm/10	0.4126984126984127	0.7698412698412699
q/7	0.40476190476190477	0.6904761904761905
q/34	0.40476190476190477	0.6587301587301587
in_norm/11	0.40476190476190477	0.746031746031746
post_norm/12	0.40476190476190477	0.7063492063492064
k_norm/12	0.40476190476190477	0.6984126984126984
in_norm/19	0.40476190476190477	0.7142857142857143
down/35	0.40476190476190477	0.6984126984126984
up/3	0.40476190476190477	0.7222222222222222
up/11	0.40476190476190477	0.746031746031746
gate/8	0.40476190476190477	0.746031746031746
v/17	0.40476190476190477	0.6904761904761905
q_norm/15	0.40476190476190477	0.7698412698412699
o/6	0.40476190476190477	0.7698412698412699
k_norm/18	0.40476190476190477	0.7301587301587301
k/21	0.40476190476190477	0.7698412698412699
q_norm/2	0.3968253968253968	0.7142857142857143
down/4	0.3968253968253968	0.753968253968254
o/13	0.3968253968253968	0.6507936507936508
q_norm/12	0.3968253968253968	0.6904761904761905
q_norm/10	0.3968253968253968	0.6984126984126984
k_norm/15	0.3968253968253968	0.746031746031746
post_norm/6	0.3968253968253968	0.7619047619047619
in_norm/31	0.3968253968253968	0.6666666666666666
o/12	0.3968253968253968	0.6666666666666666
q_norm/4	0.3968253968253968	0.6587301587301587
k_norm/10	0.3888888888888889	0.7142857142857143
post_norm/9	0.3888888888888889	0.7301587301587301
k/4	0.3888888888888889	0.7380952380952381
up/4	0.3888888888888889	0.6746031746031746
k/11	0.3888888888888889	0.6825396825396826
k/20	0.3888888888888889	0.7142857142857143
q_norm/16	0.3888888888888889	0.7301587301587301
gate/6	0.3888888888888889	0.7619047619047619
up/33	0.3888888888888889	0.7380952380952381
k_norm/28	0.38095238095238093	0.6507936507936508
gate/0	0.38095238095238093	0.8174603174603174
v/21	0.38095238095238093	0.6507936507936508
o/16	0.38095238095238093	0.7222222222222222
in_norm/15	0.38095238095238093	0.7222222222222222
k_norm/4	0.38095238095238093	0.6746031746031746
post_norm/19	0.38095238095238093	0.746031746031746
in_norm/4	0.38095238095238093	0.746031746031746
k_norm/16	0.38095238095238093	0.7777777777777778
gate/33	0.38095238095238093	0.7063492063492064
up/15	0.38095238095238093	0.6904761904761905
down/32	0.38095238095238093	0.6904761904761905
post_norm/13	0.373015873015873	0.753968253968254
down/6	0.373015873015873	0.7063492063492064
in_norm/30	0.373015873015873	0.6984126984126984
gate/10	0.373015873015873	0.6507936507936508
in_norm/16	0.373015873015873	0.6190476190476191
k_norm/27	0.373015873015873	0.7301587301587301
in_norm/2	0.373015873015873	0.753968253968254
q_norm/18	0.373015873015873	0.7063492063492064
o/7	0.373015873015873	0.7698412698412699
q_norm/24	0.373015873015873	0.753968253968254
q/22	0.373015873015873	0.6746031746031746
up/1	0.36507936507936506	0.7142857142857143
q/16	0.36507936507936506	0.746031746031746
down/28	0.36507936507936506	0.7301587301587301
k/8	0.36507936507936506	0.6904761904761905
v/35	0.36507936507936506	0.6349206349206349
q/17	0.36507936507936506	0.7380952380952381
q_norm/14	0.36507936507936506	0.6587301587301587
k/29	0.36507936507936506	0.7380952380952381
up/20	0.36507936507936506	0.6904761904761905
gate/12	0.36507936507936506	0.6746031746031746
in_norm/18	0.36507936507936506	0.6587301587301587
q/8	0.35714285714285715	0.7619047619047619
q_norm/6	0.35714285714285715	0.6746031746031746
up/10	0.35714285714285715	0.7222222222222222
v/22	0.35714285714285715	0.6666666666666666
k_norm/1	0.35714285714285715	0.753968253968254
k_norm/24	0.35714285714285715	0.746031746031746
v/33	0.35714285714285715	0.6428571428571429
o/0	0.35714285714285715	0.6666666666666666
in_norm/7	0.35714285714285715	0.7301587301587301
in_norm/13	0.35714285714285715	0.7142857142857143
gate/24	0.35714285714285715	0.6904761904761905
q_norm/13	0.35714285714285715	0.6349206349206349
down/15	0.35714285714285715	0.7063492063492064
q/15	0.35714285714285715	0.746031746031746
down/14	0.3492063492063492	0.6349206349206349
k/13	0.3492063492063492	0.6904761904761905
o/5	0.3492063492063492	0.746031746031746
down/12	0.3492063492063492	0.7222222222222222
up/12	0.3492063492063492	0.7301587301587301
down/19	0.3492063492063492	0.7777777777777778
o/11	0.3492063492063492	0.6190476190476191
k_norm/26	0.3492063492063492	0.6825396825396826
o/1	0.3492063492063492	0.7380952380952381
k_norm/13	0.3412698412698413	0.6349206349206349
o/23	0.3412698412698413	0.7222222222222222
k_norm/34	0.3412698412698413	0.7301587301587301
q/21	0.3412698412698413	0.6666666666666666
k/12	0.3412698412698413	0.6984126984126984
k_norm/35	0.3412698412698413	0.6349206349206349
post_norm/18	0.3412698412698413	0.7063492063492064
o/22	0.3333333333333333	0.7380952380952381
up/28	0.3333333333333333	0.6746031746031746
up/16	0.3333333333333333	0.7222222222222222
v/25	0.3333333333333333	0.6190476190476191
k_norm/6	0.3333333333333333	0.6587301587301587
gate/25	0.3253968253968254	0.6428571428571429
k_norm/33	0.3253968253968254	0.5793650793650794
k/2	0.3253968253968254	0.7142857142857143
v/32	0.3253968253968254	0.626984126984127
up/19	0.3253968253968254	0.7301587301587301
up/9	0.3253968253968254	0.8015873015873016
k_norm/30	0.3253968253968254	0.6190476190476191
up/8	0.3253968253968254	0.6587301587301587
q/26	0.3253968253968254	0.7222222222222222
