weight	step_acc	agent_acc
post_norm/1	0.41379310344827586	0.6896551724137931
lm_head	0.41379310344827586	0.896551724137931
q/26	0.41379310344827586	0.9137931034482759
post_norm/35	0.39655172413793105	0.9310344827586207
o/35	0.39655172413793105	0.7586206896551724
down/24	0.3793103448275862	0.8620689655172413
q/35	0.3793103448275862	0.9137931034482759
down/34	0.3620689655172414	0.8793103448275862
q/11	0.3620689655172414	0.6379310344827587
k_norm/10	0.3620689655172414	0.7931034482758621
k_norm/12	0.3620689655172414	0.8448275862068966
q/27	0.3448275862068966	0.9482758620689655
o/14	0.3448275862068966	0.7068965517241379
q/10	0.3448275862068966	0.7758620689655172
q_norm/0	0.3448275862068966	0.896551724137931
gate/35	0.3448275862068966	0.8620689655172413
o/13	0.3448275862068966	0.6551724137931034
q_norm/15	0.3448275862068966	0.7758620689655172
down/31	0.3448275862068966	0.896551724137931
up/11	0.3275862068965517	0.896551724137931
in_norm/13	0.3275862068965517	0.6379310344827587
q_norm/17	0.3275862068965517	0.5517241379310345
k_norm/15	0.3275862068965517	0.7241379310344828
q_norm/12	0.3275862068965517	0.6551724137931034
q/5	0.3275862068965517	0.6724137931034483
in_norm/8	0.3275862068965517	0.7758620689655172
q/17	0.3275862068965517	0.6896551724137931
post_norm/7	0.3275862068965517	0.6206896551724138
q_norm/2	0.3275862068965517	0.7241379310344828
up/34	0.3275862068965517	0.8793103448275862
gate/18	0.3275862068965517	0.8275862068965517
q/8	0.3275862068965517	0.6724137931034483
in_norm/18	0.3103448275862069	0.5862068965517241
up/21	0.3103448275862069	0.6206896551724138
up/9	0.3103448275862069	0.8620689655172413
o/5	0.3103448275862069	0.7413793103448276
k_norm/14	0.3103448275862069	0.8103448275862069
o/12	0.3103448275862069	0.7241379310344828
k_norm/9	0.3103448275862069	0.6724137931034483
q_norm/9	0.3103448275862069	0.6379310344827587
k_norm/6	0.3103448275862069	0.6896551724137931
gate/1	0.3103448275862069	0.8448275862068966
k/1	0.3103448275862069	0.6896551724137931
k/14	0.3103448275862069	0.5862068965517241
in_norm/14	0.29310344827586204	0.6379310344827587
in_norm/9	0.29310344827586204	0.5517241379310345
k/0	0.29310344827586204	0.7068965517241379
o/6	0.29310344827586204	0.5517241379310345
k/16	0.29310344827586204	0.5517241379310345
k_norm/25	0.29310344827586204	0.7068965517241379
k/5	0.29310344827586204	0.5862068965517241
o/15	0.29310344827586204	0.7241379310344828
down/2	0.29310344827586204	0.5689655172413793
q_norm/13	0.29310344827586204	0.5517241379310345
k_norm/17	0.29310344827586204	0.6551724137931034
o/19	0.29310344827586204	0.8103448275862069
in_norm/4	0.29310344827586204	0.5517241379310345
q/0	0.29310344827586204	0.6724137931034483
k_norm/4	0.29310344827586204	0.7758620689655172
o/20	0.29310344827586204	0.603448275862069
q/15	0.29310344827586204	0.8448275862068966
up/6	0.27586206896551724	0.6206896551724138
down/33	0.27586206896551724	0.7241379310344828
gate/3	0.27586206896551724	0.5862068965517241
v/9	0.27586206896551724	0.4482758620689655
o/8	0.27586206896551724	0.6896551724137931
up/26	0.27586206896551724	0.5517241379310345
q_norm/6	0.27586206896551724	0.7931034482758621
q_norm/4	0.27586206896551724	0.8793103448275862
q/34	0.27586206896551724	0.7931034482758621
q_norm/10	0.27586206896551724	0.5689655172413793
in_norm/15	0.27586206896551724	0.5862068965517241
k_norm/7	0.27586206896551724	0.8620689655172413
q/1	0.27586206896551724	0.7586206896551724
o/17	0.27586206896551724	0.8448275862068966
norm	0.27586206896551724	0.7931034482758621
k/2	0.27586206896551724	0.6379310344827587
up/14	0.27586206896551724	0.7758620689655172
up/7	0.27586206896551724	0.7586206896551724
k_norm/31	0.27586206896551724	0.7931034482758621
in_norm/7	0.27586206896551724	0.603448275862069
k/23	0.27586206896551724	0.6551724137931034
o/1	0.27586206896551724	0.603448275862069
k_norm/30	0.25862068965517243	0.8793103448275862
k_norm/8	0.25862068965517243	0.8448275862068966
q_norm/7	0.25862068965517243	0.7931034482758621
k/26	0.25862068965517243	0.6206896551724138
k/18	0.25862068965517243	0.5344827586206896
k_norm/21	0.25862068965517243	0.6206896551724138
q_norm/31	0.25862068965517243	0.7931034482758621
k_norm/2	0.25862068965517243	0.7241379310344828
q/13	0.25862068965517243	0.6551724137931034
up/22	0.25862068965517243	0.5344827586206896
up/3	0.25862068965517243	0.7586206896551724
down/0	0.25862068965517243	0.5862068965517241
q/14	0.25862068965517243	0.7758620689655172
up/0	0.25862068965517243	0.603448275862069
up/10	0.25862068965517243	0.7241379310344828
gate/5	0.25862068965517243	0.7586206896551724
in_norm/5	0.25862068965517243	0.5517241379310345
q_norm/16	0.25862068965517243	0.6551724137931034
o/10	0.25862068965517243	0.7241379310344828
gate/13	0.25862068965517243	0.5
v/2	0.25862068965517243	0.4827586206896552
k_norm/28	0.25862068965517243	0.7413793103448276
in_norm/17	0.25862068965517243	0.5689655172413793
k/27	0.25862068965517243	0.7758620689655172
up/2	0.25862068965517243	0.8620689655172413
q/20	0.25862068965517243	0.46551724137931033
v/5	0.25862068965517243	0.5172413793103449
k/15	0.25862068965517243	0.5344827586206896
gate/7	0.25862068965517243	0.6896551724137931
q_norm/18	0.25862068965517243	0.5689655172413793
in_norm/16	0.25862068965517243	0.5172413793103449
k_norm/16	0.25862068965517243	0.6551724137931034
gate/4	0.2413793103448276	0.6551724137931034
in_norm/10	0.2413793103448276	0.5344827586206896
k_norm/13	0.2413793103448276	0.5517241379310345
down/27	0.2413793103448276	0.5862068965517241
gate/10	0.2413793103448276	0.5172413793103449
o/11	0.2413793103448276	0.5172413793103449
k/20	0.2413793103448276	0.43103448275862066
q_norm/20	0.2413793103448276	0.41379310344827586
q_norm/25	0.2413793103448276	0.5344827586206896
k/3	0.2413793103448276	0.4827586206896552
q/25	0.2413793103448276	0.4482758620689655
gate/24	0.2413793103448276	0.7241379310344828
gate/25	0.2413793103448276	0.4482758620689655
in_norm/6	0.2413793103448276	0.5689655172413793
q/2	0.2413793103448276	0.5172413793103449
q/23	0.2413793103448276	0.6206896551724138
q/3	0.2413793103448276	0.5862068965517241
q_norm/22	0.2413793103448276	0.5689655172413793
k/13	0.2413793103448276	0.5172413793103449
k/25	0.2413793103448276	0.46551724137931033
q/12	0.2413793103448276	0.7586206896551724
down/1	0.2413793103448276	0.5
k_norm/0	0.2413793103448276	0.7068965517241379
down/3	0.22413793103448276	0.5172413793103449
in_norm/1	0.22413793103448276	0.5517241379310345
down/11	0.22413793103448276	0.39655172413793105
q_norm/3	0.22413793103448276	0.6896551724137931
q/6	0.22413793103448276	0.5862068965517241
post_norm/13	0.22413793103448276	0.4827586206896552
o/9	0.22413793103448276	0.5862068965517241
k_norm/3	0.22413793103448276	0.6551724137931034
k_norm/1	0.22413793103448276	0.6896551724137931
v/14	0.22413793103448276	0.41379310344827586
post_norm/6	0.22413793103448276	0.43103448275862066
q/7	0.22413793103448276	0.7413793103448276
k/24	0.22413793103448276	0.5689655172413793
gate/15	0.22413793103448276	0.5172413793103449
o/7	0.22413793103448276	0.5689655172413793
gate/16	0.22413793103448276	0.5689655172413793
q/29	0.22413793103448276	0.41379310344827586
k/4	0.22413793103448276	0.5517241379310345
o/4	0.22413793103448276	0.6896551724137931
q/32	0.22413793103448276	0.5344827586206896
up/5	0.22413793103448276	0.7068965517241379
k/33	0.22413793103448276	0.5862068965517241
q/28	0.22413793103448276	0.5344827586206896
k/9	0.22413793103448276	0.46551724137931033
post_norm/9	0.22413793103448276	0.41379310344827586
k_norm/18	0.22413793103448276	0.5517241379310345
gate/11	0.22413793103448276	0.39655172413793105
gate/26	0.22413793103448276	0.5
up/4	0.22413793103448276	0.6379310344827587
up/8	0.22413793103448276	0.7241379310344828
gate/31	0.20689655172413793	0.46551724137931033
gate/22	0.20689655172413793	0.7068965517241379
o/33	0.20689655172413793	0.7413793103448276
v/6	0.20689655172413793	0.43103448275862066
q/31	0.20689655172413793	0.6206896551724138
post_norm/2	0.20689655172413793	0.5172413793103449
k/7	0.20689655172413793	0.5344827586206896
o/24	0.20689655172413793	0.5517241379310345
gate/14	0.20689655172413793	0.46551724137931033
up/13	0.20689655172413793	0.43103448275862066
gate/6	0.20689655172413793	0.5517241379310345
k_norm/33	0.20689655172413793	0.5172413793103449
gate/8	0.20689655172413793	0.5517241379310345
k/28	0.20689655172413793	0.39655172413793105
post_norm/18	0.20689655172413793	0.46551724137931033
in_norm/12	0.20689655172413793	0.5172413793103449
k_norm/20	0.20689655172413793	0.41379310344827586
v/7	0.20689655172413793	0.43103448275862066
v/4	0.20689655172413793	0.5172413793103449
gate/2	0.20689655172413793	0.6206896551724138
gate/20	0.20689655172413793	0.5
o/16	0.20689655172413793	0.5862068965517241
o/21	0.20689655172413793	0.5344827586206896
q/4	0.20689655172413793	0.5344827586206896
k/12	0.20689655172413793	0.5172413793103449
v/11	0.20689655172413793	0.41379310344827586
down/32	0.20689655172413793	0.5517241379310345
v/1	0.20689655172413793	0.5
down/4	0.20689655172413793	0.41379310344827586
in_norm/2	0.20689655172413793	0.603448275862069
q_norm/8	0.1896551724137931	0.7586206896551724
in_norm/3	0.1896551724137931	0.41379310344827586
up/16	0.1896551724137931	0.4482758620689655
k_norm/22	0.1896551724137931	0.4482758620689655
k/10	0.1896551724137931	0.5
q_norm/1	0.1896551724137931	0.6379310344827587
gate/27	0.1896551724137931	0.46551724137931033
