subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
hand-crafted	layer_0	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	32.76 / 32.76	50.00 / 48.28	70.69 / 68.97
hand-crafted	layer_1	0.00 / 0.00	10.34 / 12.07	15.52 / 15.52	34.48 / 34.48	50.00 / 51.72	70.69 / 70.69
hand-crafted	layer_2	0.00 / 0.00	12.07 / 12.07	15.52 / 15.52	34.48 / 34.48	48.28 / 50.00	70.69 / 70.69
hand-crafted	layer_3	0.00 / 0.00	12.07 / 10.34	15.52 / 13.79	34.48 / 34.48	48.28 / 50.00	70.69 / 70.69
hand-crafted	layer_4	0.00 / 0.00	10.34 / 10.34	13.79 / 15.52	34.48 / 34.48	48.28 / 48.28	70.69 / 70.69
hand-crafted	layer_5	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 34.48	48.28 / 51.72	70.69 / 70.69
hand-crafted	layer_6	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 32.76	48.28 / 46.55	70.69 / 68.97
hand-crafted	layer_7	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	34.48 / 34.48	48.28 / 51.72	70.69 / 70.69
hand-crafted	layer_8	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	34.48 / 34.48	46.55 / 50.00	70.69 / 70.69
hand-crafted	layer_9	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	34.48 / 34.48	48.28 / 50.00	70.69 / 70.69
hand-crafted	layer_10	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	34.48 / 34.48	48.28 / 50.00	70.69 / 70.69
hand-crafted	layer_11	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	34.48 / 34.48	48.28 / 50.00	70.69 / 70.69
hand-crafted	layer_12	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 34.48	48.28 / 50.00	70.69 / 70.69
hand-crafted	layer_13	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	34.48 / 34.48	48.28 / 50.00	70.69 / 70.69
hand-crafted	layer_14	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 34.48	48.28 / 48.28	70.69 / 70.69
hand-crafted	layer_15	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 34.48	48.28 / 48.28	70.69 / 70.69
hand-crafted	layer_16	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 34.48	48.28 / 48.28	70.69 / 70.69
hand-crafted	layer_17	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 34.48	46.55 / 48.28	70.69 / 70.69
hand-crafted	layer_18	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 34.48	46.55 / 48.28	70.69 / 70.69
hand-crafted	layer_19	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 34.48	46.55 / 46.55	70.69 / 70.69
hand-crafted	layer_20	0.00 / 0.00	10.34 / 10.34	13.79 / 13.79	34.48 / 34.48	46.55 / 46.55	70.69 / 70.69
hand-crafted	layer_21	0.00 / 0.00	12.07 / 10.34	13.79 / 13.79	34.48 / 32.76	46.55 / 46.55	70.69 / 70.69
hand-crafted	layer_22	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	46.55 / 46.55	70.69 / 70.69
hand-crafted	layer_23	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 34.48	44.83 / 46.55	70.69 / 70.69
hand-crafted	layer_24	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	34.48 / 32.76	44.83 / 44.83	70.69 / 70.69
hand-crafted	layer_25	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	32.76 / 34.48	44.83 / 46.55	70.69 / 70.69
hand-crafted	layer_26	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	32.76 / 32.76	44.83 / 44.83	70.69 / 70.69
hand-crafted	layer_27	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	32.76 / 32.76	44.83 / 44.83	68.97 / 70.69
hand-crafted	layer_28	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	32.76 / 32.76	44.83 / 44.83	68.97 / 70.69
hand-crafted	layer_29	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	32.76 / 32.76	44.83 / 44.83	68.97 / 68.97
hand-crafted	layer_30	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	31.03 / 32.76	44.83 / 44.83	67.24 / 67.24
hand-crafted	layer_31	0.00 / 0.00	10.34 / 12.07	13.79 / 13.79	31.03 / 32.76	44.83 / 44.83	67.24 / 68.97
hand-crafted	layer_32	0.00 / 0.00	10.34 / 10.34	15.52 / 13.79	31.03 / 32.76	43.10 / 46.55	67.24 / 68.97
hand-crafted	layer_33	0.00 / 0.00	12.07 / 12.07	15.52 / 13.79	32.76 / 34.48	44.83 / 44.83	67.24 / 67.24
hand-crafted	layer_34	0.00 / 0.00	12.07 / 10.34	13.79 / 13.79	31.03 / 32.76	43.10 / 48.28	67.24 / 67.24
hand-crafted	layer_35	0.00 / 0.00	12.07 / 12.07	13.79 / 13.79	31.03 / 31.03	43.10 / 46.55	67.24 / 67.24
hand-crafted	lm_head	0.00 / 0.00	8.62 / 12.07	17.24 / 13.79	8.62 / 29.31	39.66 / 43.10	63.79 / 68.97
algorithm-generated	layer_0	1.59 / 1.59	38.10 / 38.10	100.00 / 100.00	26.98 / 27.78	72.22 / 73.02	100.00 / 100.00
algorithm-generated	layer_1	0.79 / 0.79	40.48 / 42.06	100.00 / 100.00	26.19 / 26.98	74.60 / 74.60	100.00 / 100.00
algorithm-generated	layer_2	0.79 / 0.79	38.89 / 40.48	100.00 / 100.00	26.19 / 26.98	74.60 / 73.02	100.00 / 100.00
algorithm-generated	layer_3	1.59 / 1.59	39.68 / 40.48	100.00 / 100.00	26.19 / 26.98	74.60 / 74.60	100.00 / 100.00
algorithm-generated	layer_4	1.59 / 2.38	38.10 / 41.27	100.00 / 100.00	26.19 / 26.98	73.02 / 74.60	100.00 / 100.00
algorithm-generated	layer_5	2.38 / 2.38	38.89 / 41.27	100.00 / 100.00	26.98 / 26.98	73.81 / 73.81	100.00 / 100.00
algorithm-generated	layer_6	1.59 / 0.79	39.68 / 41.27	100.00 / 100.00	26.19 / 25.40	73.81 / 73.81	100.00 / 100.00
algorithm-generated	layer_7	1.59 / 2.38	40.48 / 41.27	100.00 / 100.00	26.19 / 26.98	73.81 / 74.60	100.00 / 100.00
algorithm-generated	layer_8	1.59 / 1.59	41.27 / 42.86	100.00 / 100.00	26.19 / 26.19	74.60 / 74.60	100.00 / 100.00
algorithm-generated	layer_9	0.79 / 0.79	41.27 / 41.27	100.00 / 100.00	25.40 / 25.40	74.60 / 74.60	100.00 / 100.00
algorithm-generated	layer_10	1.59 / 1.59	42.06 / 42.06	100.00 / 100.00	25.40 / 25.40	76.98 / 75.40	100.00 / 100.00
algorithm-generated	layer_11	1.59 / 1.59	42.06 / 42.86	100.00 / 100.00	25.40 / 25.40	76.19 / 75.40	100.00 / 100.00
algorithm-generated	layer_12	1.59 / 1.59	42.86 / 42.86	100.00 / 100.00	25.40 / 25.40	76.98 / 76.19	100.00 / 100.00
algorithm-generated	layer_13	1.59 / 1.59	42.06 / 42.06	100.00 / 100.00	26.19 / 26.19	75.40 / 76.19	100.00 / 100.00
algorithm-generated	layer_14	1.59 / 1.59	41.27 / 42.06	100.00 / 100.00	26.19 / 26.19	74.60 / 76.19	100.00 / 100.00
algorithm-generated	layer_15	1.59 / 1.59	40.48 / 41.27	100.00 / 100.00	26.19 / 26.19	73.81 / 75.40	100.00 / 100.00
