subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
algorithm-generated	layer_5	1.59 / 0.79	38.89 / 37.30	100.00 / 100.00	25.40 / 25.40	75.40 / 73.81	100.00 / 100.00
algorithm-generated	layer_6	0.79 / 0.79	38.89 / 37.30	100.00 / 100.00	25.40 / 26.98	76.19 / 74.60	100.00 / 100.00
algorithm-generated	layer_7	0.79 / 0.79	38.10 / 37.30	100.00 / 100.00	26.98 / 26.98	75.40 / 73.81	100.00 / 100.00
algorithm-generated	layer_8	0.79 / 1.59	36.51 / 35.71	100.00 / 100.00	26.98 / 26.98	74.60 / 74.60	100.00 / 100.00
algorithm-generated	layer_9	1.59 / 1.59	36.51 / 35.71	100.00 / 100.00	26.98 / 26.98	74.60 / 75.40	100.00 / 100.00
algorithm-generated	layer_10	1.59 / 1.59	35.71 / 35.71	100.00 / 100.00	26.98 / 26.98	73.81 / 74.60	100.00 / 100.00
algorithm-generated	layer_11	1.59 / 1.59	35.71 / 36.51	100.00 / 100.00	26.98 / 26.98	74.60 / 74.60	100.00 / 100.00
algorithm-generated	layer_12	1.59 / 1.59	37.30 / 37.30	100.00 / 100.00	26.98 / 26.98	76.98 / 77.78	100.00 / 100.00
algorithm-generated	layer_13	1.59 / 1.59	37.30 / 37.30	100.00 / 100.00	26.98 / 26.98	76.98 / 76.19	100.00 / 100.00
algorithm-generated	layer_14	1.59 / 1.59	38.10 / 36.51	100.00 / 100.00	26.98 / 26.98	76.19 / 76.98	100.00 / 100.00
algorithm-generated	layer_15	2.38 / 2.38	38.89 / 38.10	100.00 / 100.00	25.40 / 26.98	76.19 / 75.40	100.00 / 100.00
algorithm-generated	layer_16	2.38 / 2.38	42.06 / 38.89	100.00 / 100.00	26.19 / 26.98	76.19 / 74.60	100.00 / 100.00
algorithm-generated	layer_17	2.38 / 2.38	42.86 / 40.48	100.00 / 100.00	25.40 / 25.40	76.98 / 76.19	100.00 / 100.00
algorithm-generated	layer_18	1.59 / 2.38	40.48 / 38.89	100.00 / 100.00	23.81 / 25.40	77.78 / 76.98	100.00 / 100.00
algorithm-generated	layer_19	2.38 / 2.38	41.27 / 39.68	100.00 / 100.00	23.81 / 25.40	76.98 / 78.57	100.00 / 100.00
algorithm-generated	layer_20	2.38 / 2.38	42.06 / 39.68	100.00 / 100.00	23.81 / 25.40	77.78 / 76.98	100.00 / 100.00
algorithm-generated	layer_21	2.38 / 2.38	41.27 / 39.68	100.00 / 100.00	23.81 / 24.60	78.57 / 77.78	100.00 / 100.00
algorithm-generated	layer_22	2.38 / 2.38	42.06 / 38.89	100.00 / 100.00	23.81 / 25.40	78.57 / 77.78	100.00 / 100.00
algorithm-generated	layer_23	3.17 / 3.17	41.27 / 40.48	100.00 / 100.00	24.60 / 24.60	77.78 / 77.78	100.00 / 100.00
algorithm-generated	layer_24	3.17 / 3.17	40.48 / 40.48	100.00 / 100.00	24.60 / 26.19	76.98 / 78.57	100.00 / 100.00
algorithm-generated	layer_25	3.17 / 3.17	42.06 / 38.89	100.00 / 100.00	24.60 / 26.19	78.57 / 77.78	100.00 / 100.00
algorithm-generated	layer_26	3.97 / 3.17	42.06 / 41.27	100.00 / 100.00	25.40 / 26.19	77.78 / 79.37	100.00 / 100.00
algorithm-generated	layer_27	3.97 / 3.17	43.65 / 44.44	100.00 / 100.00	25.40 / 25.40	80.16 / 80.16	100.00 / 100.00
algorithm-generated	layer_28	3.97 / 3.17	44.44 / 41.27	100.00 / 100.00	23.02 / 24.60	80.16 / 80.16	100.00 / 100.00
algorithm-generated	layer_29	3.97 / 3.17	40.48 / 37.30	100.00 / 100.00	23.02 / 24.60	80.16 / 74.60	100.00 / 100.00
algorithm-generated	layer_30	3.17 / 0.79	41.27 / 42.86	100.00 / 100.00	23.02 / 24.60	80.95 / 75.40	100.00 / 100.00
algorithm-generated	layer_31	0.79 / 0.79	39.68 / 39.68	100.00 / 100.00	21.43 / 23.02	76.19 / 75.40	100.00 / 100.00
algorithm-generated	lm_head	0.79 / 0.79	51.59 / 39.68	100.00 / 100.00	15.87 / 22.22	87.30 / 76.98	100.00 / 100.00
